vendor,service,handles_phi,baa_required,baa_status,last_reviewed,owner,artifact_link,notes
Railway,Application hosting and managed PostgreSQL,yes,yes,REVIEW_NEEDED,2026-08-27,Platform Team,,Execute Railway BAA for the exact production project and attach coverage evidence before any hosted PHI.
AWS (Infrastructure),Compute/Storage/DB/KMS,yes,yes,ACTIVE,2026-08-28,Platform Team,compliance/evidence/aws-cloud-controls-2026-08-28.md,AWS Artifact BAA is active for account 213598696247; S3 and KMS eligibility and the configured backup controls were verified on 2026-08-28.
AWS HealthScribe/Transcribe Medical,Ambient voice transcription,yes,yes,ACTIVE,2026-08-28,AI Platform Team,compliance/evidence/aws-cloud-controls-2026-08-28.md,AWS Artifact BAA covers the production account and the current AWS HIPAA Eligible Services Reference lists AWS Transcribe including HealthScribe; raw audio and generated output remain subject to application deletion plus one-day lifecycle backstops.
Twilio,SMS Messaging,yes,yes,REVIEW_NEEDED,2026-08-27,Integrations Team,,Use only BAA-covered HIPAA-eligible products and execute BAA; SMS content guard limits outbound messages to minimum necessary content.
Stedi,Clearinghouse eligibility/claims,yes,yes,REVIEW_NEEDED,2026-08-27,Integrations Team,,Execute BAA and confirm production plan plus payer enrollment and trading-partner approvals before live claim PHI.
OpenAI,Assistant and clinical note generation,potentially,yes,REVIEW_NEEDED,2026-08-27,AI Platform Team,,Execute API BAA and confirm Modified Retention plus eligible endpoints before any PHI; otherwise keep PHI-capable features disabled.
Sentry,Error monitoring,no,no,NOT_APPLICABLE,2026-08-29,Platform Team,compliance/evidence/production-integration-boundaries-2026-08-29.md,SENTRY_DSN is absent and the application does not initialize Sentry; reassess BAA or no-PHI controls before enabling telemetry.
Phaxio,Fax transmission,no,no,NOT_APPLICABLE,2026-08-29,Integrations Team,compliance/evidence/production-integration-boundaries-2026-08-29.md,Phaxio is unconfigured and production mock fax paths fail closed; execute a BAA and validate the covered account before activation.
Email Provider,Transactional email,potentially,yes,REVIEW_NEEDED,2026-08-27,Platform Team,,Execute BAA if the provider may create receive maintain or transmit PHI; prefer content-free portal notifications.
E-prescribing / prior authorization network,Prescriptions and prior authorization,no,no,NOT_APPLICABLE,2026-08-29,Integrations Team,compliance/evidence/production-integration-boundaries-2026-08-29.md,No vendor or credentials are configured and production synthetic paths fail closed; complete contracting BAA review identity proofing certification and EPCS controls before activation.
Stripe,Patient/store payments,limited,review,REVIEW_NEEDED,2026-08-27,Payments Team,,Use only for ordinary payment processing; do not send diagnoses MRNs insurance IDs or clinical details in Stripe metadata. Counsel must confirm the financial-transaction exception for the implemented flow.
